"Lake","Species","Morph_ID","Morph_zone","Morph_diet","Source","Evidence"
"LittleTeslin","Coregonus_clupeaformis","LittleTeslin_HGR","pelagic","planktivore","79C","Gill rakers; description in 79C"
"LittleTeslin","Coregonus_clupeaformis","LittleTeslin_LGR","littoral/benthic","benthivore","79C","Gill rakers; description in 79C"
"LowerTazimina","Salvelinus_alpinus","LowerTazimina_large","","","63A","gill raker and body size distributions"
"LowerTazimina","Salvelinus_alpinus","LowerTazimina_medium","","","63A","gill raker and body size distributions"
"LowerTazimina","Salvelinus_alpinus","LowerTazimina_small","","planktivore","63A","gill raker and body size distributions"
"Lucerne","Coregonus_lavaretus","Lucerne_Alpnach","","","17C","morphology; gill rakers; location of capture"
"Lucerne","Coregonus_lavaretus","Lucerne_Bodenbalchen","","","17C","morphology; gill rakers; location of capture"
"Lucerne","Coregonus_lavaretus","Lucerne_intb","littoral/benthic","","17C","morphology; gill rakers; location of capture"
"Lucerne","Coregonus_lavaretus","Lucerne_intp","pelagic","","17C","morphology; gill rakers; location of capture"
"Lucerne","Coregonus_lavaretus","Lucerne_nobilis","","","17C","morphology; gill rakers; location of capture"
"Lucerne","Coregonus_lavaretus","Lucerne_zugensis","","","17C","morphology; gill rakers; location of capture"
"Maggiore","Coregonus_lavaretus","Maggiore_bondella","","","37C","gill rakers; morphology"
"Maggiore","Coregonus_lavaretus","Maggiore_lavarello","","","37C","gill rakers; morphology"
"Maree","Salvelinus_alpinus","Maree_C","","generalist invertivore","176A","body size; stomach contents"
"Maree","Salvelinus_alpinus","Maree_D","","planktivore","176A","body size; stomach contents"
"Memesagamesing","Coregonus_artedi","Memesagamesing_B","littoral/benthic","","04C","location of capture; morphology; gill rakers"
"Memesagamesing","Coregonus_artedi","Memesagamesing_PL","pelagic","","04C","location of capture; morphology; gill rakers"
"MistassiniF","Salvelinus_fontinalis","MistassiniF_che","","","34C","growth curves"
"MistassiniF","Salvelinus_fontinalis","MistassiniF_pep","","","34C","growth curves"
"MistassiniF","Salvelinus_fontinalis","MistassiniF_rup","","","34C","growth curves"
"MistassiniN","Salvelinus_namaycush","MistassiniN_deep","profundal","","198A","morphology; location of capture; stomach contents"
"MistassiniN","Salvelinus_namaycush","MistassiniN_shallow","shallow","","198A","morphology; location of capture; stomach contents"
"Muddus","Coregonus_lavaretus","Muddus_DR","pelagic","planktivore","14B","stomach contents; isotopes; gill rakers"
"Muddus","Coregonus_lavaretus","Muddus_LDR","pelagic","generalist invertivore","14B","stomach contents; isotopes; gill rakers"
"Muddus","Coregonus_lavaretus","Muddus_LSR","littoral/benthic","benthivore","14B","stomach contents; isotopes; gill rakers"
"Muddus","Coregonus_lavaretus","Muddus_SSR","profundal","benthivore","14B","stomach contents; isotopes; gill rakers"
"Neuchatel","Coregonus_lavaretus","Neuchatel_candidus","","","126A","depth; gill rakers; stable isotopes"
"Neuchatel","Coregonus_lavaretus","Neuchatel_palaea","","","126A","depth; gill rakers; stable isotopes"
"Nipigon","Coregonus_artedi","Nipigon_artedi","shallow","planktivore","284A","morphology; location of capture; stomach contents"
"Nipigon","Coregonus_artedi","Nipigon_hoyi","profundal","","284A","morphology; location of capture; stomach contents"
"Nipigon","Coregonus_artedi","Nipigon_nigripinnis","","","284A","morphology; location of capture; stomach contents"
"Nipigon","Coregonus_artedi","Nipigon_zenithicus","","","284A","morphology; location of capture; stomach contents"
"Njalla","Coregonus_lavaretus","Njalla_DR","pelagic","planktivore","202A","morphology; gill rakers; location of capture; stomach contents"
"Njalla","Coregonus_lavaretus","Njalla_LSR","littoral/benthic","benthivore","202A","morphology; gill rakers; location of capture; stomach contents"
"Normu1ipSaqqaataTasia","Salvelinus_alpinus","Normu1ipSaqqaataTasia_LB","littoral/benthic","benthivore","01C","mix of ecological, morphological, behavioural traits"
"Normu1ipSaqqaataTasia","Salvelinus_alpinus","Normu1ipSaqqaataTasia_PI","","piscivore","01C","mix of ecological, morphological, behavioural traits"
"Paadar","Coregonus_lavaretus","Paadar_DR","pelagic","planktivore","14B","stomach contents; isotopes; gill rakers"
"Paadar","Coregonus_lavaretus","Paadar_LDR","pelagic","generalist invertivore","14B","stomach contents; isotopes; gill rakers"
"Paadar","Coregonus_lavaretus","Paadar_LSR ","littoral/benthic","benthivore","14B","stomach contents; isotopes; gill rakers"
"Paadar","Coregonus_lavaretus","Paadar_SSR ","profundal","benthivore","14B","stomach contents; isotopes; gill rakers"
"Padorinskoe","Salvelinus_alpinus","Padorinskoe_L","","piscivore","49C","growth curves/distributions; diet ID from references in 49C table 1"
"Padorinskoe","Salvelinus_alpinus","Padorinskoe_S","","benthivore","49C","growth curves/distributions; diet ID from references in 49C table 1"
"Pulmanki","Coregonus_lavaretus","Pulmanki_DR","pelagic","planktivore","28A","gill rakers; description in 28A"
"Pulmanki","Coregonus_lavaretus","Pulmanki_LSR","littoral/benthic","benthivore","28A","gill rakers; description in 28A"
"Pulmanki","Coregonus_lavaretus","Pulmanki_SSR","profundal","benthivore","28A","gill rakers; description in 28A"
"Radiant","Coregonus_artedi","Radiant_B","littoral/benthic","","04C","morphology; gill rakers; location of capture"
"Radiant","Coregonus_artedi","Radiant_PL","pelagic","","04C","morphology; gill rakers; location of capture"
"Rannoch","Salvelinus_alpinus","Rannoch_B","littoral/benthic","benthivore","296A","location of capture; stomach contents; morphology"
"Rannoch","Salvelinus_alpinus","Rannoch_PI","littoral/benthic","piscivore","296A","location of capture; stomach contents; morphology"
"Rannoch","Salvelinus_alpinus","Rannoch_PL","pelagic","planktivore","296A","location of capture; stomach contents; morphology"
"Rush","Salvelinus_namaycush","Rush_huronicus","profundal","","42A","location of capture; stomach contents; morphology"
"Rush","Salvelinus_namaycush","Rush_lean","shallow","","42A","location of capture; stomach contents; morphology"
"Ruskebukt","Coregonus_lavaretus","Ruskebukt_DR","pelagic","","202A","morphology; gill rakers; location of capture; stomach contents"
"Ruskebukt","Coregonus_lavaretus","Ruskebukt_LSR","littoral/benthic","","202A","morphology; gill rakers; location of capture; stomach contents"
"SaqqaataTasia","Salvelinus_alpinus","SaqqaataTasia_LB","littoral/benthic","benthivore","01C","mix of ecological, morphological, behavioural traits"
